Timestamp,1. How often do you shop online?  ,2. What is your age group?  ,"3. Which platform do you prefer for buying electronics (e.g., phones, laptops, gadgets)?  ",4. Where do you usually shop for fashion and apparel?,5.  Which platform do you prefer for beauty and skincare products?  ,6. Where do you typically buy groceries and household essentials?  ,7. What is the most important factor for you when choosing a platform to shop from?  ,8. Do you trust the product reviews and ratings on these platforms?  ,9. Which platform’s return and refund policy do you find the best?  
21/10/2024 19:44:36,Monthly,18-24,Flipkart,Flipkart,Amazon,Flipkart Supermart,Platform Trust and Security,Neutral,Nykaa
21/10/2024 19:44:53,Monthly,18-24,Reliance Digital,Zara,Flipkart,Flipkart Supermart,Product Variety,Somewhat trust them,I don’t use return/refund services
21/10/2024 19:45:17,Occasionally (once every few months),45-54,Reliance Digital,None / I don’t buy fashion items online,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Availability of Offers and Coupons,Don’t trust them at all,I don’t use return/refund services
21/10/2024 19:45:40,Never,55 and above,None / I don’t buy electronics online,None / I don’t buy fashion items online,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Availability of Offers and Coupons,Don’t trust them at all,I don’t use return/refund services
21/10/2024 19:46:04,Monthly,Under 18,Amazon,Myntra,Nykaa,Blinkit,Price and Discounts,Somewhat trust them,Flipkart
21/10/2024 19:46:20,Rarely (once or twice a year),45-54,Croma,Zara,Purplle,JioMart,Platform Trust and Security,Neutral,Ajio
21/10/2024 19:46:44,Rarely (once or twice a year),35-44,Flipkart,Flipkart,Myntra,Flipkart Supermart,Platform Trust and Security,Neutral,Nykaa
21/10/2024 19:47:04,Occasionally (once every few months),25-34,Reliance Digital,Amazon,Purplle,JioMart,Product Variety,Neutral,Nykaa
21/10/2024 19:47:18,Rarely (once or twice a year),25-34,Flipkart,Flipkart,Flipkart,Zepto,Return/Refund Policy,Somewhat trust them,Flipkart
21/10/2024 19:47:39,Monthly,18-24,Flipkart,Ajio,Myntra,Blinkit,Product Quality,Neutral,Myntra
21/10/2024 19:48:13,Monthly,25-34,Reliance Digital,Amazon,Amazon,JioMart,Product Variety,Neutral,Ajio
21/10/2024 19:48:48,Monthly,18-24,Amazon,Ajio,Amazon,None / I don’t buy fashion items online,Price and Discounts,Somewhat trust them,Ajio
21/10/2024 19:50:52,weekly,18-24,Flipkart,Myntra,Nykaa,Zepto,Return/Refund Policy,Somewhat trust them,Amazon
21/10/2024 19:51:01,Occasionally (once every few months),25-34,None / I don’t buy electronics online,Flipkart,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Product Quality,Neutral,Flipkart
21/10/2024 19:51:07,Occasionally (once every few months),25-34,None / I don’t buy electronics online,H&M,Purplle,Zepto,Availability of Offers and Coupons,Neutral,Nykaa
21/10/2024 19:51:16,Monthly,18-24,Amazon,H&M,Amazon,JioMart,Platform Trust and Security,Neutral,Amazon
21/10/2024 19:51:31,Occasionally (once every few months),18-24,Amazon,Myntra,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Product Quality,Somewhat trust them,I don’t use return/refund services
21/10/2024 19:55:02,Monthly,Under 18,Amazon,Amazon,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Platform Trust and Security,Somewhat trust them,Amazon
21/10/2024 20:06:47,Monthly,18-24,None / I don’t buy electronics online,Myntra,Nykaa,None / I don’t buy fashion items online,Platform Trust and Security,Neutral,Amazon
21/10/2024 20:07:30,Occasionally (once every few months),18-24,Amazon,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Kaspi (Kazakhstan),Price and Discounts,Somewhat trust them,Amazon
21/10/2024 20:11:47,Monthly,Under 18,None / I don’t buy electronics online,Amazon,Amazon,None / I don’t buy fashion items online,Product Quality,Somewhat trust them,Amazon
21/10/2024 20:14:58,Occasionally (once every few months),35-44,Amazon,Amazon,Amazon,None / I don’t buy fashion items online,Product Quality,"Yes, completely trust them",Amazon
21/10/2024 20:39:43,weekly,Under 18,Flipkart,Myntra,Purplle,Flipkart Supermart,Price and Discounts,Neutral,Flipkart
21/10/2024 21:00:26,Monthly,18-24,Amazon,Ajio,Nykaa,Blinkit,Price and Discounts,Neutral,Amazon
21/10/2024 21:02:04,weekly,18-24,Flipkart,Amazon,Myntra,JioMart,Return/Refund Policy,Somewhat trust them,Nykaa
21/10/2024 21:03:02,Monthly,18-24,Amazon,Ajio,Myntra,Flipkart Supermart,Price and Discounts,Somewhat trust them,Amazon
21/10/2024 21:05:56,weekly,18-24,Amazon,H&M,Purplle,Blinkit,Product Quality,Somewhat trust them,Flipkart
21/10/2024 21:06:17,Monthly,18-24,None / I don’t buy electronics online,Zara,Myntra,Flipkart Supermart,Platform Trust and Security,Neutral,Amazon
21/10/2024 21:07:12,Monthly,18-24,None / I don’t buy electronics online,Myntra,Nykaa,Blinkit,Product Quality,Neutral,Amazon
21/10/2024 21:07:40,Monthly,18-24,Amazon,Amazon,Amazon,None / I don’t buy fashion items online,Platform Trust and Security,Somewhat don’t trust them,Ajio
21/10/2024 21:07:53,Daily,Under 18,Amazon,Ajio,Myntra,Zepto,Return/Refund Policy,Neutral,Nykaa
21/10/2024 21:08:18,Occasionally (once every few months),45-54,None / I don’t buy electronics online,Amazon,Purplle,Zepto,Return/Refund Policy,Neutral,Nykaa
21/10/2024 21:08:44,Monthly,Under 18,Croma,Ajio,Flipkart,Zepto,Return/Refund Policy,Neutral,Ajio
21/10/2024 21:09:01,Rarely (once or twice a year),35-44,Croma,Zara,Purplle,None / I don’t buy fashion items online,Product Variety,Neutral,Ajio
21/10/2024 21:09:14,Daily,35-44,Flipkart,Flipkart,Myntra,Zepto,Return/Refund Policy,Somewhat don’t trust them,Nykaa
21/10/2024 21:09:26,Daily,18-24,Reliance Digital,Amazon,Myntra,Flipkart Supermart,Platform Trust and Security,Somewhat don’t trust them,Nykaa
21/10/2024 21:09:30,Occasionally (once every few months),18-24,Amazon,Ajio,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Platform Trust and Security,Somewhat trust them,Amazon
21/10/2024 21:09:40,Daily,Under 18,Reliance Digital,Amazon,Amazon,Flipkart Supermart,Product Quality,Neutral,Myntra
21/10/2024 21:09:53,Daily,Under 18,Flipkart,Flipkart,Myntra,Flipkart Supermart,Platform Trust and Security,Don’t trust them at all,Nykaa
21/10/2024 21:10:08,Rarely (once or twice a year),35-44,None / I don’t buy electronics online,Zara,Flipkart,JioMart,Platform Trust and Security,Somewhat trust them,Nykaa
21/10/2024 21:10:22,Monthly,18-24,Flipkart,Myntra,Myntra,Zepto,Return/Refund Policy,Neutral,Nykaa
21/10/2024 21:10:32,weekly,18-24,Flipkart,Flipkart,Myntra,Flipkart Supermart,Product Quality,Somewhat trust them,Nykaa
21/10/2024 21:10:35,Monthly,45-54,None / I don’t buy electronics online,H&M,Myntra,Flipkart Supermart,Platform Trust and Security,Somewhat trust them,Flipkart
21/10/2024 21:10:51,Monthly,45-54,Reliance Digital,Ajio,Nykaa,Blinkit,Platform Trust and Security,Somewhat don’t trust them,Nykaa
21/10/2024 21:10:57,Daily,18-24,None / I don’t buy electronics online,None / I don’t buy fashion items online,Purplle,None / I don’t buy fashion items online,Product Quality,Don’t trust them at all,Flipkart
21/10/2024 21:11:05,Rarely (once or twice a year),45-54,None / I don’t buy electronics online,H&M,None / I don’t buy fashion items online,JioMart,Platform Trust and Security,Neutral,Flipkart
21/10/2024 21:11:23,Rarely (once or twice a year),55 and above,None / I don’t buy electronics online,H&M,Amazon,Flipkart Supermart,Return/Refund Policy,Neutral,Nykaa
21/10/2024 21:11:39,Rarely (once or twice a year),45-54,None / I don’t buy electronics online,H&M,Amazon,Flipkart Supermart,Platform Trust and Security,Neutral,Nykaa
21/10/2024 21:11:55,Occasionally (once every few months),25-34,Flipkart,Ajio,Nykaa,Zepto,Product Quality,Somewhat trust them,Flipkart
21/10/2024 21:12:09,Occasionally (once every few months),45-54,Croma,Ajio,Flipkart,Zepto,Price and Discounts,Somewhat trust them,Nykaa
21/10/2024 21:12:23,Occasionally (once every few months),45-54,Croma,H&M,Purplle,None / I don’t buy fashion items online,Product Variety,Somewhat don’t trust them,Ajio
21/10/2024 21:12:37,Daily,Under 18,Flipkart,Flipkart,Flipkart,Zepto,Return/Refund Policy,Neutral,Ajio
21/10/2024 21:13:13,weekly,18-24,Amazon,Ajio,None / I don’t buy fashion items online,JioMart,Price and Discounts,Neutral,Amazon
21/10/2024 21:13:39,Monthly,18-24,Amazon,H&M,Nykaa,JioMart,Product Quality,Somewhat trust them,Amazon
21/10/2024 21:15:06,Occasionally (once every few months),18-24,Flipkart,None / I don’t buy fashion items online,None / I don’t buy fashion items online,JioMart,Product Quality,Neutral,Flipkart
21/10/2024 21:18:55,Occasionally (once every few months),18-24,None / I don’t buy electronics online,Myntra,Purplle,None / I don’t buy fashion items online,Price and Discounts,Somewhat trust them,Amazon
21/10/2024 21:20:33,Monthly,18-24,Amazon,H&M,Nykaa,Flipkart Supermart,Product Quality,Somewhat trust them,Amazon
21/10/2024 21:20:40,Rarely (once or twice a year),Under 18,None / I don’t buy electronics online,None / I don’t buy fashion items online,Purplle,JioMart,Return/Refund Policy,"Yes, completely trust them",Amazon
21/10/2024 21:21:25,Daily,55 and above,Flipkart,Myntra,Saleem,Saleem,Saleem,Don’t trust them at all,Saleem
21/10/2024 21:21:41,weekly,18-24,Amazon,Zara,Amazon,JioMart,Product Quality,Somewhat trust them,I don’t use return/refund services
21/10/2024 21:21:50,Daily,Under 18,Amazon,Myntra,None / I don’t buy fashion items online,Blinkit,Price and Discounts,"Yes, completely trust them",Amazon
21/10/2024 21:22:07,Rarely (once or twice a year),35-44,Croma,Zara,Amazon,Flipkart Supermart,Product Quality,Somewhat trust them,Flipkart
21/10/2024 21:22:23,Monthly,18-24,Flipkart,Ajio,Nykaa,Blinkit,Price and Discounts,"Yes, completely trust them",Amazon
21/10/2024 21:22:38,Never,45-54,None / I don’t buy electronics online,Zara,Myntra,Zepto,Price and Discounts,Neutral,Myntra
21/10/2024 21:24:03,Rarely (once or twice a year),18-24,Amazon,None / I don’t buy fashion items online,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Product Quality,Neutral,Amazon
21/10/2024 21:24:53,Monthly,18-24,Amazon,Myntra,Nykaa,Flipkart Supermart,Price and Discounts,"Yes, completely trust them",Myntra
21/10/2024 21:28:22,weekly,18-24,None / I don’t buy electronics online,Myntra,Nykaa,Flipkart Supermart,Product Quality,"Yes, completely trust them",Myntra
21/10/2024 21:28:51,weekly,18-24,None / I don’t buy electronics online,Myntra,Nykaa,Flipkart Supermart,Product Quality,"Yes, completely trust them",Myntra
21/10/2024 21:28:51,weekly,18-24,Flipkart,H&M,Nykaa,Flipkart Supermart,Return/Refund Policy,"Yes, completely trust them",Myntra
21/10/2024 21:29:00,Monthly,18-24,Amazon,Myntra,smytten,None / I don’t buy fashion items online,Product Quality,Neutral,Myntra
21/10/2024 21:30:03,weekly,18-24,None / I don’t buy electronics online,Myntra,Nykaa,Flipkart Supermart,Product Quality,"Yes, completely trust them",Myntra
21/10/2024 21:30:11,Occasionally (once every few months),18-24,Flipkart,Myntra,Nykaa,Blinkit,Availability of Offers and Coupons,Somewhat trust them,Flipkart
21/10/2024 21:30:21,Monthly,18-24,Flipkart,Ajio,Nykaa,Blinkit,Platform Trust and Security,"Yes, completely trust them",Nykaa
21/10/2024 21:30:27,weekly,25-34,Flipkart,Myntra,Purplle,None / I don’t buy fashion items online,Price and Discounts,Neutral,Myntra
21/10/2024 21:30:34,Daily,18-24,Amazon,Myntra,Nykaa,Flipkart Supermart,Product Quality,"Yes, completely trust them",Amazon
21/10/2024 21:30:34,weekly,18-24,None / I don’t buy electronics online,Myntra,Nykaa,Flipkart Supermart,Product Quality,"Yes, completely trust them",Myntra
21/10/2024 21:30:40,Daily,18-24,Amazon,Myntra,Nykaa,Flipkart Supermart,Product Quality,Somewhat trust them,Myntra
21/10/2024 21:30:42,weekly,18-24,Amazon,None / I don’t buy fashion items online,Nykaa,Blinkit,Price and Discounts,Somewhat trust them,Amazon
21/10/2024 21:30:57,weekly,18-24,None / I don’t buy electronics online,Myntra,Nykaa,None / I don’t buy fashion items online,Product Quality,"Yes, completely trust them",Myntra
21/10/2024 21:31:39,Monthly,18-24,Flipkart,Ajio,Flipkart,Flipkart Supermart,Product Quality,"Yes, completely trust them",Myntra
21/10/2024 21:31:48,Daily,18-24,Amazon,Myntra,Nykaa,JioMart,Product Quality,"Yes, completely trust them",Nykaa
21/10/2024 21:31:50,Monthly,18-24,Amazon,Myntra,Nykaa,Blinkit,Price and Discounts,Neutral,Amazon
21/10/2024 21:33:10,Rarely (once or twice a year),18-24,Amazon,Zara,Amazon,None / I don’t buy fashion items online,Platform Trust and Security,Somewhat trust them,Amazon
21/10/2024 21:33:46,Monthly,18-24,Amazon,Amazon,Amazon,None / I don’t buy fashion items online,Platform Trust and Security,"Yes, completely trust them",Amazon
21/10/2024 21:34:04,Occasionally (once every few months),18-24,Amazon,Myntra,Nykaa,Blinkit,Return/Refund Policy,Somewhat trust them,Amazon
21/10/2024 21:34:19,weekly,18-24,Flipkart,Myntra,Nykaa,Flipkart Supermart,Product Quality,"Yes, completely trust them",Myntra
21/10/2024 21:34:31,Daily,18-24,Amazon,Amazon,Amazon,None / I don’t buy fashion items online,Price and Discounts,"Yes, completely trust them",Amazon
21/10/2024 21:35:06,Monthly,18-24,Amazon,Myntra,Nykaa,Blinkit,Platform Trust and Security,Somewhat trust them,Amazon
21/10/2024 21:35:13,Daily,18-24,Amazon,Amazon,Amazon,None / I don’t buy fashion items online,Price and Discounts,"Yes, completely trust them",Amazon
21/10/2024 21:35:27,weekly,18-24,Amazon,Myntra,Purplle,Flipkart Supermart,Platform Trust and Security,"Yes, completely trust them",Amazon
21/10/2024 21:35:56,Daily,18-24,Amazon,Amazon,Amazon,None / I don’t buy fashion items online,Price and Discounts,"Yes, completely trust them",Amazon
21/10/2024 21:36:08,Daily,18-24,Flipkart,Myntra,Nykaa,Zepto,Price and Discounts,Somewhat trust them,Myntra
21/10/2024 21:37:37,Monthly,18-24,Amazon,Myntra,Nykaa,Zepto,Price and Discounts,Somewhat trust them,Myntra
21/10/2024 21:38:55,Monthly,18-24,Amazon,Myntra,Nykaa,Flipkart Supermart,Return/Refund Policy,"Yes, completely trust them",Ajio
21/10/2024 21:39:46,Daily,18-24,Amazon,Amazon,Amazon,None / I don’t buy fashion items online,Price and Discounts,"Yes, completely trust them",Amazon
21/10/2024 21:41:00,Monthly,18-24,None / I don’t buy electronics online,Myntra,Nykaa,None / I don’t buy fashion items online,Price and Discounts,Somewhat trust them,Myntra
21/10/2024 21:41:33,weekly,18-24,None / I don’t buy electronics online,Myntra,Nykaa,None / I don’t buy fashion items online,Price and Discounts,Somewhat trust them,Myntra
21/10/2024 21:41:42,Never,18-24,Amazon,Amazon,Amazon,None / I don’t buy fashion items online,Price and Discounts,"Yes, completely trust them",Amazon
21/10/2024 21:42:11,Monthly,18-24,None / I don’t buy electronics online,Myntra,Nykaa,None / I don’t buy fashion items online,Price and Discounts,Somewhat trust them,Myntra
21/10/2024 21:42:13,Daily,18-24,Amazon,Amazon,Amazon,None / I don’t buy fashion items online,Price and Discounts,"Yes, completely trust them",Amazon
21/10/2024 21:42:41,Occasionally (once every few months),25-34,None / I don’t buy electronics online,Amazon,Myntra,JioMart,Platform Trust and Security,Neutral,Ajio
21/10/2024 21:43:04,weekly,18-24,Flipkart,H&M,Amazon,JioMart,Platform Trust and Security,Neutral,Nykaa
21/10/2024 21:43:40,Daily,18-24,Amazon,Amazon,Amazon,Blinkit,Price and Discounts,"Yes, completely trust them",Amazon
21/10/2024 21:44:36,Daily,18-24,Amazon,Amazon,Amazon,None / I don’t buy fashion items online,Price and Discounts,"Yes, completely trust them",Amazon
21/10/2024 21:45:51,Monthly,18-24,Amazon,Myntra,Nykaa,None / I don’t buy fashion items online,Availability of Offers and Coupons,Neutral,Amazon
21/10/2024 21:46:06,Monthly,18-24,Amazon,Myntra,Nykaa,None / I don’t buy fashion items online,Availability of Offers and Coupons,Neutral,Amazon
21/10/2024 21:47:09,Monthly,45-54,Amazon,Flipkart,Amazon,None / I don’t buy fashion items online,Product Quality,Neutral,Nykaa
21/10/2024 21:47:26,Rarely (once or twice a year),18-24,Flipkart,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Blinkit,Platform Trust and Security,Neutral,Flipkart
21/10/2024 21:47:55,Occasionally (once every few months),Under 18,Flipkart,Ajio,None / I don’t buy fashion items online,Flipkart Supermart,Price and Discounts,Somewhat trust them,Ajio
21/10/2024 21:48:15,Monthly,18-24,None / I don’t buy electronics online,Myntra,Nykaa,None / I don’t buy fashion items online,Return/Refund Policy,Somewhat trust them,Amazon
21/10/2024 21:48:29,Monthly,18-24,Amazon,Amazon,Myntra,Flipkart Supermart,Product Quality,Somewhat trust them,Flipkart
21/10/2024 21:48:31,Occasionally (once every few months),18-24,Flipkart,Myntra,None / I don’t buy fashion items online,Blinkit,Return/Refund Policy,Neutral,Flipkart
21/10/2024 21:49:04,Monthly,18-24,Amazon,Amazon,Myntra,Flipkart Supermart,Product Quality,Somewhat trust them,Flipkart
21/10/2024 21:49:08,Daily,18-24,Amazon,Amazon,Amazon,None / I don’t buy fashion items online,Price and Discounts,"Yes, completely trust them",Amazon
21/10/2024 21:49:21,Occasionally (once every few months),18-24,None / I don’t buy electronics online,Ajio,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Product Quality,Neutral,Ajio
21/10/2024 21:50:54,weekly,18-24,Amazon,H&M,Nykaa,None / I don’t buy fashion items online,Product Quality,Somewhat trust them,Myntra
21/10/2024 21:52:11,Occasionally (once every few months),18-24,Flipkart,Myntra,Nykaa,None / I don’t buy fashion items online,Product Quality,Neutral,Amazon
21/10/2024 21:54:37,Monthly,18-24,Amazon,Myntra,Amazon,Blinkit,Price and Discounts,Neutral,Amazon
21/10/2024 21:56:13,Occasionally (once every few months),18-24,Flipkart,None / I don’t buy fashion items online,None / I don’t buy fashion items online,JioMart,Price and Discounts,Somewhat don’t trust them,Amazon
21/10/2024 21:56:26,Monthly,18-24,Flipkart,Myntra,Flipkart,JioMart,Product Quality,Neutral,Myntra
21/10/2024 21:56:29,Occasionally (once every few months),18-24,Amazon,None / I don’t buy fashion items online,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Product Variety,Somewhat trust them,Amazon
21/10/2024 21:57:25,Monthly,18-24,Amazon,H&M,Nykaa,Blinkit,Platform Trust and Security,"Yes, completely trust them",Amazon
21/10/2024 21:57:34,Occasionally (once every few months),18-24,None / I don’t buy electronics online,Flipkart,Amazon,JioMart,Platform Trust and Security,Somewhat trust them,Amazon
21/10/2024 21:57:49,weekly,18-24,None / I don’t buy electronics online,Ajio,Flipkart,JioMart,Return/Refund Policy,Don’t trust them at all,Amazon
21/10/2024 21:59:11,Rarely (once or twice a year),18-24,Croma,H&M,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Product Quality,Neutral,Amazon
21/10/2024 21:59:36,Occasionally (once every few months),18-24,Amazon,H&M,Myntra,None / I don’t buy fashion items online,Price and Discounts,Neutral,Amazon
21/10/2024 21:59:59,Monthly,18-24,Reliance Digital,Myntra,Myntra,JioMart,Product Quality,Neutral,Myntra
21/10/2024 22:03:16,Monthly,18-24,Amazon,Zara,Nykaa,Zepto,Product Quality,Somewhat trust them,Amazon
21/10/2024 22:03:30,weekly,18-24,None / I don’t buy electronics online,"Zara, H&M, Max",Amazon,JioMart,Price and discounts and Product quality and variety,Somewhat don’t trust them,Amazon
21/10/2024 22:05:07,Monthly,18-24,Flipkart,H&M,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Price and Discounts,Somewhat trust them,Myntra
21/10/2024 22:08:54,Daily,18-24,Amazon,Amazon,Amazon,None / I don’t buy fashion items online,Price and Discounts,"Yes, completely trust them",Amazon
21/10/2024 22:09:58,Monthly,45-54,Amazon,Flipkart,Amazon,Zepto,Product Quality,Neutral,Flipkart
21/10/2024 22:10:41,Rarely (once or twice a year),Under 18,None / I don’t buy electronics online,Amazon,Flipkart,Flipkart Supermart,Return/Refund Policy,Somewhat don’t trust them,I don’t use return/refund services
21/10/2024 22:10:44,Daily,18-24,Amazon,Amazon,Amazon,None / I don’t buy fashion items online,Price and Discounts,Neutral,Amazon
21/10/2024 22:10:53,weekly,18-24,Amazon,Myntra,Nykaa,Blinkit,Price and Discounts,Somewhat trust them,Amazon
21/10/2024 22:11:13,Monthly,45-54,Amazon,Ajio,Amazon,Zepto,Return/Refund Policy,"Yes, completely trust them",Nykaa
21/10/2024 22:11:16,Monthly,18-24,Reliance Digital,Flipkart,Amazon,JioMart,Product Quality,Neutral,Flipkart
21/10/2024 22:11:42,Daily,18-24,Amazon,Amazon,Amazon,JioMart,Availability of Offers and Coupons,Somewhat don’t trust them,Ajio
21/10/2024 22:12:06,Daily,35-44,Flipkart,Ajio,None / I don’t buy fashion items online,JioMart,Product Quality,Neutral,Nykaa
21/10/2024 22:12:19,weekly,45-54,Amazon,Ajio,Amazon,Zepto,Price and Discounts,Somewhat don’t trust them,Amazon
21/10/2024 22:12:24,Daily,25-34,Amazon,Ajio,Nykaa,Blinkit,Price and Discounts,"Yes, completely trust them",Amazon
21/10/2024 22:12:47,Daily,25-34,Amazon,H&M,Amazon,Flipkart Supermart,Return/Refund Policy,Somewhat trust them,Nykaa
21/10/2024 22:13:03,Daily,Under 18,Amazon,Myntra,Myntra,Flipkart Supermart,Product Quality,Don’t trust them at all,Amazon
21/10/2024 22:13:04,weekly,35-44,None / I don’t buy electronics online,H&M,Purplle,Zepto,Platform Trust and Security,Neutral,Ajio
21/10/2024 22:13:19,Monthly,Under 18,Amazon,Myntra,Myntra,Zepto,Price and Discounts,"Yes, completely trust them",Amazon
21/10/2024 22:13:35,Daily,Under 18,Flipkart,Myntra,Nykaa,None / I don’t buy fashion items online,Product Quality,Somewhat trust them,Nykaa
21/10/2024 22:13:41,Monthly,45-54,Amazon,Amazon,Amazon,Zepto,Return/Refund Policy,Neutral,Flipkart
21/10/2024 22:13:53,Daily,25-34,None / I don’t buy electronics online,Zara,Flipkart,Zepto,Return/Refund Policy,Neutral,I don’t use return/refund services
21/10/2024 22:14:10,Daily,18-24,Reliance Digital,Flipkart,Nykaa,Flipkart Supermart,Product Variety,Neutral,Myntra
21/10/2024 22:14:28,Monthly,35-44,Flipkart,Ajio,Nykaa,Zepto,Price and Discounts,"Yes, completely trust them",Amazon
21/10/2024 22:14:34,Occasionally (once every few months),18-24,Flipkart,Myntra,Flipkart,Flipkart Supermart,Return/Refund Policy,Neutral,Amazon
21/10/2024 22:14:46,Monthly,45-54,Flipkart,Myntra,Amazon,Zepto,Product Quality,Somewhat trust them,Flipkart
21/10/2024 22:14:48,Daily,25-34,Croma,Flipkart,Nykaa,Blinkit,Price and Discounts,Somewhat don’t trust them,Amazon
21/10/2024 22:14:59,Monthly,25-34,Croma,Zara,Flipkart,Flipkart Supermart,Platform Trust and Security,Neutral,Myntra
21/10/2024 22:15:08,Daily,18-24,Flipkart,Flipkart,Myntra,JioMart,Return/Refund Policy,Neutral,Nykaa
21/10/2024 22:15:22,Monthly,25-34,Amazon,Flipkart,Flipkart,Zepto,Platform Trust and Security,"Yes, completely trust them",Flipkart
21/10/2024 22:15:35,Monthly,25-34,None / I don’t buy electronics online,Flipkart,Flipkart,None / I don’t buy fashion items online,Platform Trust and Security,Somewhat trust them,Nykaa
21/10/2024 22:15:47,Monthly,18-24,Amazon,Myntra,Myntra,JioMart,Platform Trust and Security,Somewhat trust them,Myntra
21/10/2024 22:16:21,Daily,45-54,Flipkart,Myntra,Myntra,Zepto,Price and Discounts,Somewhat trust them,Flipkart
21/10/2024 22:16:33,weekly,18-24,Amazon,Amazon,None / I don’t buy fashion items online,Zepto,Product Quality,Somewhat trust them,Amazon
21/10/2024 22:16:43,Never,18-24,None / I don’t buy electronics online,none of your business ,none of your business ,none of your business ,none of your business ,Don’t trust them at all,Ajio
21/10/2024 22:16:49,Occasionally (once every few months),18-24,None / I don’t buy electronics online,"multiple outlets like style union, jockky, allon solly etc",Nykaa,BB now,Availability of Offers and Coupons,"Yes, completely trust them",Amazon
21/10/2024 22:17:05,Occasionally (once every few months),25-34,Flipkart,Ajio,Myntra,Flipkart Supermart,Platform Trust and Security,Neutral,Myntra
21/10/2024 22:17:15,weekly,45-54,Amazon,Zara,Nykaa,Zepto,Product Quality,"Yes, completely trust them",Myntra
21/10/2024 22:17:23,Occasionally (once every few months),18-24,Amazon,Myntra,None / I don’t buy fashion items online,Blinkit,Platform Trust and Security,Somewhat trust them,I don’t use return/refund services
21/10/2024 22:17:39,weekly,25-34,Flipkart,Flipkart,Myntra,Flipkart Supermart,Product Variety,Neutral,Myntra
21/10/2024 22:17:45,Daily,25-34,Amazon,Flipkart,Flipkart,None / I don’t buy fashion items online,Availability of Offers and Coupons,Neutral,Nykaa
21/10/2024 22:18:10,Daily,25-34,Reliance Digital,Zara,Purplle,JioMart,Platform Trust and Security,Somewhat don’t trust them,Nykaa
21/10/2024 22:18:27,Daily,25-34,Amazon,Myntra,Myntra,JioMart,Product Variety,Somewhat don’t trust them,Myntra
21/10/2024 22:18:35,Daily,35-44,Reliance Digital,Myntra,Nykaa,Blinkit,Return/Refund Policy,"Yes, completely trust them",Flipkart
21/10/2024 22:18:37,Monthly,18-24,Flipkart,Flipkart,Amazon,JioMart,Return/Refund Policy,Neutral,Nykaa
21/10/2024 22:18:43,Daily,Under 18,None / I don’t buy electronics online,Amazon,Myntra,Flipkart Supermart,Return/Refund Policy,Somewhat trust them,I don’t use return/refund services
21/10/2024 22:18:58,Rarely (once or twice a year),35-44,None / I don’t buy electronics online,Zara,Amazon,Flipkart Supermart,Product Variety,Somewhat don’t trust them,Ajio
21/10/2024 22:19:06,Daily,35-44,Flipkart,Amazon,Nykaa,Zepto,Price and Discounts,Neutral,Flipkart
21/10/2024 22:19:09,Monthly,18-24,Flipkart,Myntra,Sa,None / I don’t buy fashion items online,Availability of Offers and Coupons,Somewhat don’t trust them,I don’t use return/refund services
21/10/2024 22:19:28,weekly,25-34,Reliance Digital,Flipkart,Myntra,None / I don’t buy fashion items online,Platform Trust and Security,Neutral,Nykaa
21/10/2024 22:19:42,Occasionally (once every few months),18-24,Amazon,Ajio,Amazon,None / I don’t buy fashion items online,Price and Discounts,"Yes, completely trust them",Amazon
21/10/2024 22:19:47,Never,25-34,Reliance Digital,Zara,Purplle,Zepto,Product Quality,Somewhat trust them,I don’t use return/refund services
21/10/2024 22:20:05,Monthly,45-54,Croma,Zara,Amazon,Flipkart Supermart,Availability of Offers and Coupons,Somewhat don’t trust them,Myntra
21/10/2024 22:20:10,Daily,25-34,Flipkart,Zara,Amazon,None / I don’t buy fashion items online,Product Variety,Somewhat don’t trust them,Ajio
21/10/2024 22:20:18,Daily,35-44,Flipkart,Amazon,Flipkart,Zepto,Product Quality,Neutral,Myntra
21/10/2024 22:20:48,weekly,35-44,Amazon,Amazon,Nykaa,Zepto,Platform Trust and Security,"Yes, completely trust them",Amazon
21/10/2024 22:21:07,Monthly,18-24,Flipkart,Myntra,Nykaa,Flipkart Supermart,Price and Discounts,"Yes, completely trust them",Myntra
21/10/2024 22:21:14,weekly,45-54,Amazon,Myntra,Myntra,Zepto,Product Quality,"Yes, completely trust them",Flipkart
21/10/2024 22:21:39,Monthly,45-54,Flipkart,Myntra,Nykaa,Blinkit,Price and Discounts,"Yes, completely trust them",Amazon
21/10/2024 22:22:06,Occasionally (once every few months),18-24,Flipkart,H&M,Flipkart,Flipkart Supermart,Platform Trust and Security,Neutral,Ajio
21/10/2024 22:22:09,Monthly,45-54,Amazon,Myntra,Nykaa,Zepto,Product Quality,"Yes, completely trust them",Myntra
